task_id,subtask_id,status,encoder,encoded_at,validate_status_1
P0001,,completed,297915765,2026-09-01T09:15:15.086Z,
P0001,S0001,completed,,,pass|38179254|2026-09-01T09:16:56.116Z
P0002,,completed,38179254,2026-09-01T09:24:33.301Z,
P0002,S0001,completed,,,pass|297915765|2026-09-01T09:26:11.122Z
T0001,,completed,297915765,2026-09-01T11:20:25.251Z,
T0001,S0001,completed,,,pass|38179254|2026-09-01T13:01:10.132Z
T0002,,encoding_required,,,
T0002,S0001,pending,,,
T0003,,encoding_required,,,
T0003,S0001,pending,,,
